"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 27, 2025 12:14:19 PM PDT","24792137001","Order","111-8566303-9219440","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","waipahu","HI","96797","MarketplaceFacilitator","14.95","0.70","0","0","0","0","0","0","0","0","-0.70","-0.75","-5.00","0","0","9.20"
"Oct 27, 2025 12:28:35 PM PDT","24792137001","Order","111-0353090-6289021","MSUS-D33-265-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Beige L","1","amazon.com","Standard Orders","Amazon","DORAL","FL","33198","MarketplaceFacilitator","26.12","0","0","0","0","0","0","0","0","0","0","-4.44","-6.27","0","0","15.41"
"Oct 27, 2025 12:59:02 PM PDT","24792137001","Order","114-3652136-4004219","MSUS-D33-2-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black S","1","amazon.com","Standard Orders","Amazon","LONG BEACH","CA","90804","MarketplaceFacilitator","14.73","1.55","0","0","0","0","0","0","0","0","-1.55","-0.74","-5.46","0","0","8.53"
"Oct 27, 2025 1:47:08 PM PDT","24792137001","FBA Customer Return Fee","112-4612167-6926632","X00413JUVX","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.27","0","0","-2.27"
"Oct 27, 2025 1:51:17 PM PDT","24792137001","FBA Customer Return Fee","111-8590247-6618647","X00413EB5X","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.12","0","0","-2.12"
"Oct 27, 2025 2:55:08 PM PDT","24792137001","Order","112-8108174-6045049","MSUS-D33-7-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe S","1","amazon.com","Standard Orders","Amazon","SAN JOSE","CA","95112","MarketplaceFacilitator","16.49","1.55","0","0","0","0","0","0","0","0","-1.55","-1.65","-4.77","0","0","10.07"
"Oct 27, 2025 3:01:07 PM PDT","24792137001","Order","113-8415689-5094669","MSUS-D33-6-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top White S","1","amazon.com","Standard Orders","Amazon","RIALTO","CA","92376","MarketplaceFacilitator","15.83","1.23","0","0","0","0","0","0","0","0","-1.23","-1.58","-5.00","0","0","9.25"
"Oct 27, 2025 3:06:37 PM PDT","24792137001","Refund","114-0962250-7371434","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","RANCHO SANTA MARGARITA","CA","92688","MarketplaceFacilitator","-15.83","-1.23","0","0","0","0","0","0","0","0","1.23","1.26","0","0","0","-14.57"
"Oct 27, 2025 3:16:38 PM PDT","24792137001","Refund","113-7265896-5997861","MSUS-D33-2-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black 2XL","1","amazon.com","Standard Orders","Amazon","CERRITOS","CA","90703","MarketplaceFacilitator","-16.05","-1.56","0","0","0","0","0","0","0","0","1.56","1.29","0","0","0","-14.76"
"Oct 27, 2025 3:49:11 PM PDT","24792137001","FBA Customer Return Fee","111-5752375-0985068","X00413QL65","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 3:51:08 PM PDT","24792137001","Refund","113-9086859-3037803","MSUS-D33-7-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe S","1","amazon.com","Standard Orders","Amazon","RANCHO CUCAMONGA","CA","91739","Combined TCS+MTC","-17.81","-1.38","-0.50","0","0","0","0","0","0.50","0","1.38","1.42","0","0","3.56","-12.83"
