"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"7 Dec 2025 20:57:10 UTC","25999281222","Order","206-0619791-0195521","MSUK-D70-5-2","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, S","1","amazon.co.uk","Amazon","Blackburn","Lancashire","BB1 7","MarketplaceFacilitator","11.23","2.25","0","0","0","0","0","0","-2.25","-1.08","-3.00","-0.08","0","7.07"
"7 Dec 2025 21:00:57 UTC","25999281222","Order","026-1733716-3411551","MSUK-D63-20-3","ANGOOL Seamless Removable Padded Sports Bra, Cross Back Yoga Fitness Workout Bra,Black+Gray,M","1","amazon.co.uk","Amazon","BARRY","","CF62 8","MarketplaceFacilitator","11.87","2.37","0","0","0","0","0","0","-2.37","-1.14","-2.77","-0.08","0","7.88"
"7 Dec 2025 21:05:15 UTC","25999281222","Order","026-6894943-6433100","MS-D06-2-2-","ANGOOL Sports Bras for Women, Racerback Yoga Bra Padded Mid Impact Support for Workout Fitness Black","1","amazon.co.uk","Amazon","COVENTRY","","CV3 2","MarketplaceFacilitator","8.12","1.62","0","0","0","0","0","0","-1.62","-0.78","-2.65","-0.07","0","4.62"
"7 Dec 2025 21:05:45 UTC","25999281222","Refund","206-0619791-0195521","MSUK-D70-5-2","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, S","1","amazon.co.uk","Amazon","Blackburn","Lancashire","BB1 7","MarketplaceFacilitator","-11.23","-2.25","0","0","0","0","0","0","2.25","0.86","0","0.02","0","-10.35"
"7 Dec 2025 21:16:23 UTC","25999281222","Order","202-6943371-9093906","MS-D06-209-4","ANGOOL Women's Sports Bra Padded Mid Impact Racerback Comfy Yoga Workout Bra, Black+grey+wine Red, L Fit 36D 36DD 36E 38D 40B 40C","1","amazon.co.uk","Amazon","HUNTINGDON","","PE28 0","MarketplaceFacilitator","14.07","2.82","0","0","0","0","0","0","-2.82","-2.53","-3.28","-0.12","0","8.14"
"7 Dec 2025 21:20:31 UTC","25999281222","Order","206-0722150-2659528","MSUK-D74-6-6","ANGOOL Seamless Bras for Women Wire Free Push Up V Neck Padded Bralette Soft Support Full Coverage Comfort Women Bra, White, XXL","1","amazon.co.uk","Amazon","CANNOCK","Staffordshire","WS11 8","MarketplaceFacilitator","10.76","2.15","0","0","0","0","0","0","-2.15","-1.03","-2.77","-0.08","0","6.88"
"7 Dec 2025 21:30:56 UTC","25999281222","Order","204-1512297-5666745","MSUK-D70-5-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, M","1","amazon.co.uk","Amazon","Helensburgh","Argyll and Bute","G84 8","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 21:43:18 UTC","25999281222","Order","205-2279077-0302727","MSUK-D70-5-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, M","1","amazon.co.uk","Amazon","CLITHEROE","","BB7 2","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 21:57:42 UTC","25999281222","Order","202-5324896-6288359","MS-D06-2-5-","ANGOOL Sports Bras for Women, Racerback Yoga Bra Padded Mid Impact Support for Workout Fitness Black","1","amazon.co.uk","Amazon","DUNBAR","","EH42 1","MarketplaceFacilitator","8.12","1.62","0","0","0","0","0","0","-1.62","-0.78","-2.65","-0.07","0","4.62"
"7 Dec 2025 22:03:13 UTC","25999281222","Order","205-2699324-7802744","MS-D23-2-2","ANGOOL Padded Sports Bra Wirefree Mid Impact Yoga Bras Unique Cross Back Strappy for Gym Yoga Black","1","amazon.co.uk","Amazon","YORK","","YO10 4","MarketplaceFacilitator","8.12","1.62","0","0","0","0","0","0","-1.62","-0.78","-2.67","-0.07","0","4.60"
"7 Dec 2025 22:46:10 UTC","25999281222","Order","026-7133701-1255547","MS-D06-206-3","ANGOOL Women's Sports Bra Padded High Impact Racerback Comfy Yoga Workout Bra, M Fit 32DD 32E 34D 34DD 36BC 38BC, Black+gray+white","1","amazon.co.uk","Amazon","Reading","","RG8 0","MarketplaceFacilitator","14.07","2.82","0","0","0","0","0","0","-2.82","-2.53","-3.25","-0.12","0","8.17"
"7 Dec 2025 22:50:34 UTC","25999281222","Order","205-4752609-5472304","MSUK-D70-5-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, XL","1","amazon.co.uk","Amazon","Maidstone","","ME17 3","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
